"id","folder","file","bytes","role","redistrib","note","source_tag","query","url","log","provenance","gallery_path","trim_needed"
"01","01-cafe-warm-a","about-01.jpg","278395","general","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:coffee,cafe","coffee shop natural light wood","https://live.staticflickr.com/4196/34275321094_0864da4695_b.jpg","SOURCES-photo-wv","stock-likely","","no"
"01","01-cafe-warm-a","about-02.jpg","189028","general","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:coffee,cafe","loremflickr:coffee,cafe","","_materials/SOURCES","stock-likely","","no"
"01","01-cafe-warm-a","about-03.jpg","147953","general","不明","SOURCESなし。AI生成／後差し替え／未記録の可能性","","","","","unknown-maybe-ai","","no"
"01","01-cafe-warm-a","about-04.jpg","218727","general","不明","SOURCESなし。AI生成／後差し替え／未記録の可能性","","","","","unknown-maybe-ai","","no"
"01","01-cafe-warm-a","color-soft-cafe.jpg","15629","exclude-color-insert","不明","SOURCESなし。AI生成／後差し替え／未記録の可能性","","","","","unknown-maybe-ai","","no"
"01","01-cafe-warm-a","hero.jpg","186712","general","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:coffee,cafe","coffee cup wood table morning light","https://live.staticflickr.com/6100/6227999014_d82ed09e7f_b.jpg","SOURCES-photo-wv","stock-likely","","no"
"01","01-cafe-warm-a","work-01.jpg","230783","card-candidate","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:coffee,cafe","latte art wooden table morning","https://live.staticflickr.com/65535/47939081677_0d810f17c5_b.jpg","SOURCES-photo-wv","stock-likely","","yes-if-approved"
"01","01-cafe-warm-a","work-02.jpg","173129","card-candidate","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:coffee,cafe","pastry and coffee cafe table","https://live.staticflickr.com/3003/3106835536_c3e4e9ae8f_b.jpg","SOURCES-photo-wv","stock-likely","","yes-if-approved"
"01","01-cafe-warm-a","work-03.jpg","167411","card-candidate","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","","coffee shop chairs","https://live.staticflickr.com/2552/3899614852_49fde027b1_b.jpg","SOURCES-photo-wv","stock-likely","","yes-if-approved"
"02","02-cafe-split-b","about-01.jpg","288928","general","要確認","Flickr由来。写真ごとのライセンス確認が必須（再配布不可が多い）","loremflickr:flowers,bouquet","florist arranging flowers","https://live.staticflickr.com/1942/44073173915_1f20b1334f_b.jpg","SOURCES-photo-wv","stock-likely","","no"
